"","gene_origin","gene_destination","effect","pvalue","anti.pvalue","p.adj","anti.p.adj"
"1","EEF1A1","RACK1","0.203008469296739",0.104789793120701,0.0363053765691468,0.254554438801454,0.113310381039066
"2","EEF1A1","EEF1G","0.221440593608491",0.991119919356422,0.351651321121906,0.991119919356422,0.527125554567589
"3","EEF1A1","EEF1B2","0.176583402733135",0.85472509491217,0.868473868097878,0.914357078278135,0.923694749884448
"4","EEF1A1","BTF3","0.124753513914157",0.345744509024688,0.0169604225820983,0.527125554567589,0.0624143551021216
"5","EEF1A1","HNRNPA1","0.123606765280663",0.311287669352744,0.0317650713101348,0.523368589334317,0.102539879316926
"6","EEF1A1","UBE2L3","-0.104549809309766",0.785312007172552,0.704757451619719,0.89633211604121,0.853127441434396
"7","FTL","FTH1","0.277542873797597",0.183593474280991,0.404111100880987,0.37122196997475,0.580909707516419
"8","NPM1","RACK1","0.409537471905331",0.217606951710091,4.01949494436216e-06,0.412780197058317,3.08161279067766e-05
"9","NPM1","HSP90AB1","0.185938012464664",0.577662367784406,0.431460273138084,0.760895017549058,0.610682232749288
"10","NPM1","BTF3","0.106670893520421",0.151510300109554,2.48857207223375e-06,0.316794263865431,1.990857657787e-05
"11","NPM1","HINT1","0.123909373135455",0.728653580623418,0.957924967065751,0.864982315062638,0.968451615055484
"12","FTH1","HBZ","0.121568895001771",0.00957942764282263,0.0657729262400493,0.0409910392157991,0.17110470630983
"13","YBX1","TPT1","-0.133271127414406",0.0467588915378255,0.710223537602063,0.141043213819015,0.854125038684834
"14","YBX1","PRDX1","0.158107204033872",0.0546263405544784,0.775545868476604,0.156959585818096,0.89633211604121
"15","YBX1","ENO1","0.104181643655425",0.794206602077834,0.0005567694826205,0.89633211604121,0.00330469628394103
"16","YBX1","NDUFS5","0.134386135426242",0.108600321620187,0.20417406634959,0.254554438801454,0.399659874556643
"17","HBG2","HBZ","0.644427198627158",0.113988071391042,0.279534962107331,0.258004963692422,0.494561856036046
"18","PTMA","HSPE1","0.178360347918729",0.00218941890043537,6.40594702449296e-16,0.0111903632688919,8.41924466076218e-15
"19","TPT1","EEF1A1","0.137451564945083",0.0142839169743322,0.108168237862615,0.0536375657811658,0.254554438801454
"20","TPT1","SDF2L1","0.104996613183451",0.00452365825759723,0.306729200074861,0.021342387676869,0.522575674201615
"21","HSP90AB1","HSPD1","0.127797207811282",0.0260265250807959,0.35523678677381,0.0886829743493786,0.527125554567589
"22","HSP90AB1","HSP90AA1","0.271589372590332",8.65241132570703e-12,0.108379057768724,9.36496284664761e-11,0.254554438801454
"23","HSP90AB1","HSPA8","0.129937252924711",0.594258296890339,2.57502112179047e-13,0.760895017549058,3.15869257606298e-12
"24","RANBP1","PTMA","0.119647221320603",0.0123870409346677,0.0014694468308217,0.0495481637386709,0.00795230049621153
"25","RANBP1","TUBA1B","0.21420113672934",0.410748350957492,0.0109071266968427,0.585873616869601,0.0456116207322514
"26","RANBP1","HMGB1","0.229598381409937",0.91221825177256,0.61756079850625,0.944367032693974,0.77300127159966
"27","RANBP1","SET","0.10376604875729",0.0392566131882953,0.485405926686722,0.120386947110772,0.666527541122067
"28","RANBP1","H2AFZ","0.156776528154125",0.317181919660825,0.833748360423123,0.523368589334317,0.909860179327672
"29","RANBP1","TUBB","0.123109351231049",0.809356975660417,0.840631687422305,0.89633211604121,0.909860179327672
"30","RANBP1","RAN","0.116380957212637",0.340195677378104,0.0177718276194192,0.527125554567589,0.0641179663131987
"31","RANBP1","NME1","0.108595658594068",0.75667148853371,0.651076847331839,0.886799706307023,0.80401436180576
"32","RANBP1","PTGES3","0.125104337561044",0.0642948497687852,0.906015275870386,0.17110470630983,0.944367032693974
"33","RANBP1","NASP","0.121317551891942",0.161601141404223,0.312915926963237,0.334096741779517,0.523368589334317
"34","GAPDH","ENO1","0.135968095383791",0.0592505209417925,2.02559164743084e-09,0.161120593290662,1.96162559540671e-08
"35","GAPDH","MIF","0.152781792959812",0.115608530446722,0.211412331365804,0.258004963692422,0.409472304961137
"36","GAPDH","LDHA","0.215436795138476",0.805566211138134,0.121211128443578,0.89633211604121,0.262386442748452
"37","HIST1H4C","HIST1H1E","0.604007270187838",0.615017554310988,0.914279919280213,0.77300127159966,0.944367032693974
"38","GSTP1","HBZ","0.105656406407653",0.657611633079352,0.235042597707607,0.806670269910672,0.432478379781997
"39","ACTB","ACTG1","0.315688354812882",0,0.00167374909420124,0,0.0087991380952294
"40","TUBA1B","H2AFZ","0.143927813022863",0.0363332200070919,0.685758037365508,0.113310381039066,0.835625687915586
"41","TUBA1B","TUBB","0.258782607797455",0.0257959024856583,1.05990612162406e-08,0.0886829743493786,9.28679649422985e-08
"42","TUBA1B","RAN","0.104142342631473",0.00375536881758938,0.148181562859984,0.0181838911167486,0.313395489267092
"43","TUBA1B","TUBA1C","0.241030747954024",9.74545402437266e-09,0.126729703773137,8.96581770242285e-08,0.271142622026247
"44","TUBA1B","STMN1","0.151284815881651",0.384253904315094,1.13435259118637e-12,0.561132685666487,1.30450547986433e-11
"45","TUBA1B","UBE2S","0.114767856019241",0.345170827065781,0.329979564131561,0.527125554567589,0.527125554567589
"46","H3F3A","GP1BB","0.102837116857518",4.82595907423408e-06,0.250439248717434,3.55190587863628e-05,0.456245760039682
"47","H3F3A","HIST1H1C","0.104788998423681",0.186597982844998,0.215660869664528,0.373195965689996,0.412780197058317
"48","NCL","PTMA","0.232942028206474",0.0130909420363816,0.291052052610223,0.0512496454190259,0.510034073145533
"49","NCL","RANBP1","0.154992616778516",0.367855236170636,0.227203589044899,0.541482907643176,0.422307262228202
"50","NCL","HSPD1","0.249960824765588",0.00683921925013181,1.64374083197533e-05,0.0314604085506063,0.000116326274262869
"51","NCL","HNRNPU","0.113179394609593",0.91870488506642,0.260156527024989,0.944367032693974,0.469301970319588
"52","HSPD1","PTMA","0.172672733782687",3.51295833235375e-07,0.227219668264087,2.93811060524132e-06,0.422307262228202
"53","HSPD1","HSPE1","0.227611967923156",1.55530722013767e-34,1.63335220659527e-16,3.1797392056148e-33,2.50447338344608e-15
"54","HSPD1","ATP5MC3","0.11252585567268",0.0135283800795073,0.805158899751099,0.051858790304778,0.89633211604121
"55","EEF2","EEF1A1","0.217345889201886",0.0316499192912498,0.0766843827065769,0.102539879316926,0.193286663260413
"56","APOE","GSTP1","0.271458110714228",0.33752789381008,0.984458399457776,0.527125554567589,0.989837953553174
"57","APOE","APOC1","0.312429538628522",0.782475542251255,9.9289915672244e-203,0.89633211604121,6.0897814945643e-201
"58","HMGB1","PTMA","0.126401598160776",0.594733870853381,0.589483055356534,0.760895017549058,0.760895017549058
"59","HMGB1","TUBA1B","0.213882679359701",0.325031383291473,0.318572184812193,0.527125554567589,0.523368589334317
"60","HMGB1","HSP90AA1","0.1360280807944",0.29544732544955,0.813518822711315,0.51285196115771,0.89633211604121
"61","HMGB1","STMN1","0.123399610542195",0.0707419190031074,0.306126648811196,0.180784904119052,0.522575674201615
"62","SET","ANP32B","0.109238470937284",0.925098356729114,0.000298104624608415,0.945656097989761,0.00195897324742672
"63","TUBB","HIST1H4C","0.354000589642822",0.836509944161992,0.329300244563162,0.909860179327672,0.527125554567589
"64","TUBB","HIST1H1C","0.118691995523896",0.000712352389456145,0.115866726390338,0.00409602623937283,0.258004963692422
"65","TUBB","H2AFZ","0.123234062345843",0.631594170165663,0.478818712281917,0.785225184530284,0.662425887668216
"66","TUBB","TUBA1C","0.316177072529019",0.726423126932031,0.454363118820338,0.864982315062638,0.638189418801085
"67","HNRNPA2B1","HMGB1","0.124706694577729",0.0230476140046011,0.347890866229239,0.0815530957085884,0.527125554567589
"68","HNRNPA2B1","PPIA","0.10069020716905",0.00797921211172719,0.169762542662306,0.0353953026482699,0.347070087220714
"69","HNRNPA2B1","SFPQ","0.120841045353588",0.0554476797726971,0.0296397041188515,0.156959585818096,0.0991582828703397
"70","ENO1","LDHA","0.14786033192595",0.103131921961513,0.200407409723016,0.254554438801454,0.396504982677795
"71","HSPA8","HIST1H4C","-0.120648483457899",0.0595445670856794,0.116382673839516,0.161120593290662,0.258004963692422
"72","HSPA8","HSP90AA1","0.263379362736018",2.65153270912992e-19,0.0593697422190939,4.87882018479906e-18,0.161120593290662
"73","HSPA8","UBE2S","0.123053514879357",0.556343860572757,0.011499901592451,0.747206352886039,0.0470218198446887
"74","MIF","LDHA","0.10470367427708",0.61630826381831,0.592394627144555,0.77300127159966,0.760895017549058
"75","TMSB4X","ACTB","0.101353169296984",0.000931164685645775,0.0533182145419916,0.00519194855026735,0.155723039297245
"76","EIF1","H3F3B","0.186653175601069",0.000339401771381251,0.5033883218613,0.00215344572186725,0.686099638685031
"77","HSPE1","ATP5MC3","0.131264567548703",0.000421363181651391,0.525688789526904,0.00258436084746186,0.711226009359929
"78","HBG1","HBG2","0.746981317808203",0.118477582113469,1.95613052668937e-36,0.259522322724742,4.49910021138556e-35
"79","HBG1","GSTP1","0.128161840327577",0.0660240986304236,0.274645249573592,0.17110470630983,0.490628407005251
"80","NDUFS5","PRDX1","0.129054121308505",0.954683298912992,0.909765752816493,0.968451615055484,0.944367032693974
"81","TUBA1C","UBE2S","0.259955047549333",0.468128549596308,0.795569842678203,0.652542826710005,0.89633211604121
"82","TUBA1C","CENPF","0.2266798125725",0.771805618588734,0.355132527595878,0.89633211604121,0.527125554567589
"83","CLIC1","ACTB","0.146892478603423",0.751228877076072,1.84051609363714e-05,0.886064829371777,0.000125427763418235
"84","CLIC1","VIM","0.262253177343676",0.345797219445838,0.00252728119714326,0.527125554567589,0.0125681010884962
"85","HSP90B1","SDF2L1","0.49906299031299",8.81800007724534e-17,0.10929239492019,1.47501092201195e-15,0.254554438801454
"86","UBE2S","CENPF","0.330882036024943",0.895299092146422,0.595483057212306,0.944367032693974,0.760895017549058
"87","SFPQ","UBE2S","0.107795771004775",0.0477275020191728,0.851383193062505,0.14164290921819,0.914357078278135
"88","HSPA5","HSP90B1","0.223882296293775",0,5.25841782206148e-50,0,1.38221268465616e-48
"89","HSPA5","CALR","0.155653994808288",8.00015485551855e-168,3.2067167474312e-16,3.68007123353853e-166,4.53873755021031e-15
"90","CALR","GP1BB","0.100132130174922",0.00807936256101812,0.562287884189107,0.0353953026482699,0.749717178918809
"91","CALR","SDF2L1","0.24028854926712",3.57231405026002e-64,0.394439922188269,1.31461157049569e-62,0.571472013249146
"92","CALR","HSP90B1","0.482593575567529",2.50584942391314e-53,1.3957975086773e-10,7.6846049000003e-52,1.42681523109235e-09
